sku,url
4007325,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_4vkdl29h4h507ahbas2bcj6469/4007325_21053_001_TC_AC_190_24_8_Pic_rgb.png
4007332,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_f15bh9qij55sr6h1l8m6vlha7m/4007332_21043_001_TC_AC_190_50_8_Pic.png
2342167,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_fs14kshqjh109dsc9vmjtujr59/2342167_11039_001_TC_VC_1820_S_RAL3002_Pic.jpg
4511489,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_fo2e6fncl13ap8l1uvo9vsd44c/4511489_21093_001_PXC_Twinpack_CB2_2x4Ah_Pic.png
4512097,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_84mhj5frap4l57u7t1ijpsqg2f/4512097_11019_001.png
4512042,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_gn0la4p8295ntbr96vjoru4l4e/4512042_21083_001_18V_4Ah_PXC_Starter_Kit_C2_Pic_RGB.png
4512114,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_iuli9sq0e52kla88msh9aehc59/4512114_21010_001_PXC_Fastcharger_5_2Ah_4A_Pic_RGB.png
4512112,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_flfskte34541bbhsf110rttk5d/4512112_21010_001_2x4Ah&Twingcharger_Kit_1_RAL3002_Pic.jpg
4512143,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_8un65vf1u17238nnhtgm269a3e/4512143_21012_001_18V_4-6Ah_6A_Boostch_Pic.jpg
4512159,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_rinu8bkdcl7uv0jo3r7rlqfc0v/4512159_21014_001.png
4513900,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_s7maf1kcod0htbbnl1nenhb029/4513900_21044_001_HEROCCO_18_20_Pic_RGB.png
4513950,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_t28vkg2kgh6flbad2voi5nnm69/4513950_21021_001.png
4513970,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_mogcui0fnt67p32ktkn7blm47m/4513970_21023_001_TE_HD_18_12_Li_solo_Pic_RGB.png
4513983,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_f6r5dpf8s50vr35ri26s5jh31u/4513983_21013_001.jpg
